Name: Luis Angel Cabral Guzman
Date: 2021-07-05

COMBINATION ID., IMAGE NO., DETECTOR TYPE, DESCRIPTOR TYPE, TOTAL KEYPOINTS, KEYPOINTS ON VEHICLE, DETECTOR ELAPSED TIME, DESCRIPTOR ELAPSED TIME, MATCHED KEYPOINTS, MATCHER ELAPSED TIME
7, 7, HARRIS, BRIEF, 5, 0, 12.7115, 0.290775, 0, 0.030973
7, 8, HARRIS, BRIEF, 8, 0, 13.1543, 0.271852, 0, 0.021274
7, 9, HARRIS, BRIEF, 10, 0, 11.6573, 0.260378, 0, 0.023618

8, 0, HARRIS, ORB, 3, 0, 11.8496, 0.176151, 0, 0
8, 1, HARRIS, ORB, 3, 0, 13.0079, 0.146672, 0, 0.023679
8, 2, HARRIS, ORB, 3, 0, 12.388, 0.159733, 0, 0.024318
8, 3, HARRIS, ORB, 3, 0, 12.2613, 0.150268, 0, 0.026457
8, 4, HARRIS, ORB, 5, 0, 12.9813, 0.159226, 0, 0.028097
8, 5, HARRIS, ORB, 15, 0, 11.6541, 0.149791, 0, 0.026219
8, 6, HARRIS, ORB, 2, 0, 11.4668, 0.13781, 0, 0.023513
8, 7, HARRIS, ORB, 5, 0, 12.8041, 0.165604, 0, 0.022801
8, 8, HARRIS, ORB, 8, 0, 12.1824, 0.195975, 0, 0.023175
8, 9, HARRIS, ORB, 10, 0, 12.5598, 0.160718, 0, 0.020951

9, 0, HARRIS, FREAK, 3, 0, 13.9278, 0.001728, 0, 0
9, 1, HARRIS, FREAK, 3, 0, 11.8205, 0.00126, 0, 0.027014
9, 2, HARRIS, FREAK, 3, 0, 11.6927, 0.001771, 0, 0.030824
9, 3, HARRIS, FREAK, 3, 0, 12.8323, 0.00161, 0, 0.027921
9, 4, HARRIS, FREAK, 5, 0, 12.1475, 0.00152, 0, 0.027014
9, 5, HARRIS, FREAK, 15, 0, 13.1465, 0.001474, 0, 0.027621
9, 6, HARRIS, FREAK, 2, 0, 14.1397, 0.001517, 0, 0.024025
9, 7, HARRIS, FREAK, 5, 0, 11.7392, 0.001634, 0, 0.028307
9, 8, HARRIS, FREAK, 8, 0, 12.0232, 0.001826, 0, 0.027411
9, 9, HARRIS, FREAK, 10, 0, 13.1502, 0.001461, 0, 0.028151

10, 0, HARRIS, SIFT, 3, 0, 12.0744, 23.9633, 0, 0
10, 1, HARRIS, SIFT, 3, 0, 19.8845, 23.1092, 0, 0.027515
10, 2, HARRIS, SIFT, 3, 0, 18.5855, 21.6715, 0, 0.019534
10, 3, HARRIS, SIFT, 3, 0, 18.0266, 23.8313, 0, 0.026355
10, 4, HARRIS, SIFT, 5, 0, 18.1539, 21.7273, 0, 0.025864
10, 5, HARRIS, SIFT, 15, 0, 17.9602, 24.2637, 0, 0.034033
10, 6, HARRIS, SIFT, 2, 0, 18.6569, 23.8063, 0, 0.036185
10, 7, HARRIS, SIFT, 5, 0, 18.8165, 22.0597, 0, 0.023734
10, 8, HARRIS, SIFT, 8, 0, 17.9272, 24.6721, 0, 0.02611
10, 9, HARRIS, SIFT, 10, 0, 19.3704, 24.8984, 0, 0.030618

11, 0, FAST, BRISK, 1824, 149, 0.998512, 2.15364, 0, 0
11, 1, FAST, BRISK, 1832, 152, 0.892912, 2.24059, 97, 0.80828
11, 2, FAST, BRISK, 1810, 150, 1.38556, 2.19231, 104, 0.765202
11, 3, FAST, BRISK, 1817, 155, 1.25818, 2.24926, 101, 0.788509
11, 4, FAST, BRISK, 1793, 149, 1.30904, 1.94681, 98, 0.775801
11, 5, FAST, BRISK, 1796, 149, 1.27436, 1.87312, 85, 0.73674
11, 6, FAST, BRISK, 1788, 156, 1.23741, 1.96629, 107, 0.783278
11, 7, FAST, BRISK, 1695, 150, 1.27555, 1.95931, 107, 0.807505
11, 8, FAST, BRISK, 1749, 138, 1.42761, 1.81274, 100, 0.79415
11, 9, FAST, BRISK, 1770, 143, 1.27102, 1.82661, 100, 0.677771

12, 0, FAST, BRIEF, 1824, 149, 1.27341, 0.903566, 0, 0
12, 1, FAST, BRIEF, 1832, 152, 0.965925, 0.839625, 119, 0.738843
12, 2, FAST, BRIEF, 1810, 150, 1.31436, 0.798514, 130, 0.750486
12, 3, FAST, BRIEF, 1817, 155, 0.950777, 0.83406, 118, 0.726898
12, 4, FAST, BRIEF, 1793, 149, 0.91594, 0.791807, 126, 0.748615
12, 5, FAST, BRIEF, 1796, 149, 0.907696, 0.796592, 108, 0.692541
12, 6, FAST, BRIEF, 1788, 156, 0.914858, 0.799089, 123, 0.731702
12, 7, FAST, BRIEF, 1695, 150, 0.874548, 0.793549, 131, 0.76006
12, 8, FAST, BRIEF, 1749, 138, 0.890372, 0.752086, 125, 0.666435
12, 9, FAST, BRIEF, 1770, 143, 0.937269, 0.833694, 119, 0.644856

13, 0, FAST, ORB, 1824, 149, 0.903218, 1.60323, 0, 0
13, 1, FAST, ORB, 1832, 152, 0.910417, 1.02256, 118, 0.770117
13, 2, FAST, ORB, 1810, 150, 1.12164, 1.04993, 123, 0.767274
13, 3, FAST, ORB, 1817, 155, 0.923821, 1.70779, 112, 0.837227
13, 4, FAST, ORB, 1793, 149, 0.881322, 1.03488, 126, 0.759281
13, 5, FAST, ORB, 1796, 149, 0.905243, 1.04827, 106, 0.739991
13, 6, FAST, ORB, 1788, 156, 0.891055, 1.09611, 122, 0.770794
13, 7, FAST, ORB, 1695, 150, 0.90668, 1.03896, 122, 0.776254
13, 8, FAST, ORB, 1749, 138, 0.922859, 1.01527, 123, 0.688437
13, 9, FAST, ORB, 1770, 143, 0.892289, 1.08422, 119, 0.685299

14, 0, FAST, FREAK, 1824, 149, 0.933978, 52.5819, 0, 0
14, 1, FAST, FREAK, 1832, 152, 0.907807, 50.1339, 98, 0.810051
14, 2, FAST, FREAK, 1810, 150, 0.914846, 48.5384, 99, 0.781826
14, 3, FAST, FREAK, 1817, 155, 0.898152, 51.1522, 91, 0.822201
14, 4, FAST, FREAK, 1793, 149, 0.97544, 48.3343, 98, 0.770499
14, 5, FAST, FREAK, 1796, 149, 0.925963, 50.3197, 85, 0.76451
14, 6, FAST, FREAK, 1788, 156, 0.927949, 47.6442, 99, 0.783086
14, 7, FAST, FREAK, 1695, 150, 0.900746, 51.0058, 102, 0.770006
14, 8, FAST, FREAK, 1749, 138, 0.893864, 48.0053, 101, 0.950958
14, 9, FAST, FREAK, 1770, 143, 0.933565, 50.7339, 105, 0.729322

15, 0, FAST, SIFT, 1824, 149, 0.99184, 27.2073, 0, 0
15, 1, FAST, SIFT, 1832, 152, 0.964803, 30.8527, 82, 0.869725
15, 2, FAST, SIFT, 1810, 150, 0.911633, 34.2728, 84, 0.871073
15, 3, FAST, SIFT, 1817, 155, 0.906411, 27.6573, 67, 0.896154
15, 4, FAST, SIFT, 1793, 149, 0.88765, 35.1343, 81, 0.870721
15, 5, FAST, SIFT, 1796, 149, 1.28079, 26.7822, 70, 4.12929
15, 6, FAST, SIFT, 1788, 156, 1.08106, 28.762, 83, 0.878997
15, 7, FAST, SIFT, 1695, 150, 0.90156, 35.248, 90, 1.37995
15, 8, FAST, SIFT, 1749, 138, 1.0819, 27.7509, 86, 0.814813
15, 9, FAST, SIFT, 1770, 143, 0.947394, 31.9475, 86, 0.811566

16, 0, BRISK, BRISK, 2757, 264, 46.3951, 3.29235, 0, 0
16, 1, BRISK, BRISK, 2777, 282, 45.8942, 3.54962, 171, 2.18135
16, 2, BRISK, BRISK, 2741, 282, 45.5324, 3.47419, 176, 2.33836
16, 3, BRISK, BRISK, 2735, 277, 44.7592, 3.42869, 157, 2.30303
16, 4, BRISK, BRISK, 2757, 297, 50.2659, 3.7011, 176, 2.35651
16, 5, BRISK, BRISK, 2695, 279, 46.6291, 3.45834, 174, 2.43735
16, 6, BRISK, BRISK, 2715, 289, 45.8602, 3.60629, 188, 2.31949
16, 7, BRISK, BRISK, 2628, 272, 44.5022, 3.47844, 173, 2.31832
16, 8, BRISK, BRISK, 2639, 266, 45.3699, 3.31159, 171, 2.14682
16, 9, BRISK, BRISK, 2672, 254, 44.6783, 3.19712, 184, 1.95131

17, 0, BRISK, BRIEF, 2757, 264, 47.2171, 1.13861, 0, 0
17, 1, BRISK, BRIEF, 2777, 282, 45.7055, 1.1429, 178, 2.10058
17, 2, BRISK, BRIEF, 2741, 282, 45.2708, 1.18699, 205, 2.16274
17, 3, BRISK, BRIEF, 2735, 277, 45.3258, 1.14267, 185, 2.18872
17, 4, BRISK, BRIEF, 2757, 297, 46.8321, 1.26016, 179, 2.286
17, 5, BRISK, BRIEF, 2695, 279, 46.0096, 1.1649, 183, 2.30638
17, 6, BRISK, BRIEF, 2715, 289, 45.2319, 1.19466, 195, 2.3056
17, 7, BRISK, BRIEF, 2628, 272, 44.998, 1.1793, 207, 2.18365
17, 8, BRISK, BRIEF, 2639, 266, 45.24, 1.16761, 189, 2.01807
17, 9, BRISK, BRIEF, 2672, 254, 46.8802, 1.09274, 183, 1.9003

18, 0, BRISK, ORB, 2757, 264, 45.8176, 4.87176, 0, 0
18, 1, BRISK, ORB, 2777, 282, 46.1576, 4.90494, 162, 2.1051
18, 2, BRISK, ORB, 2741, 282, 47.8085, 4.98013, 175, 2.19112
18, 3, BRISK, ORB, 2735, 277, 45.861, 5.23178, 158, 2.18333
18, 4, BRISK, ORB, 2757, 297, 47.2554, 5.04971, 167, 2.30954
18, 5, BRISK, ORB, 2695, 279, 47.2374, 4.92352, 160, 2.32179
18, 6, BRISK, ORB, 2715, 289, 46.2975, 4.90605, 182, 2.23571
18, 7, BRISK, ORB, 2628, 272, 44.2056, 4.95226, 167, 2.31861
18, 8, BRISK, ORB, 2639, 266, 47.0467, 4.87962, 171, 2.21976
18, 9, BRISK, ORB, 2672, 254, 46.8133, 4.90661, 172, 1.8761

19, 0, BRISK, FREAK, 2757, 264, 46.3582, 50.5529, 0, 0
19, 1, BRISK, FREAK, 2777, 282, 46.6391, 52.5333, 160, 1.97542
19, 2, BRISK, FREAK, 2741, 282, 45.5308, 49.9917, 177, 1.9634
19, 3, BRISK, FREAK, 2735, 277, 47.3373, 51.6604, 155, 2.10413
19, 4, BRISK, FREAK, 2757, 297, 45.1708, 50.2533, 173, 2.10723
19, 5, BRISK, FREAK, 2695, 279, 45.0965, 50.621, 161, 2.03975
19, 6, BRISK, FREAK, 2715, 289, 45.4825, 50.119, 183, 2.03094
19, 7, BRISK, FREAK, 2628, 272, 44.4791, 49.5632, 169, 2.00429
19, 8, BRISK, FREAK, 2639, 266, 44.6293, 49.9791, 178, 1.81612
19, 9, BRISK, FREAK, 2672, 254, 45.7985, 50.137, 168, 1.72506

20, 0, BRISK, SIFT, 2757, 264, 45.5952, 66.3768, 0, 0
20, 1, BRISK, SIFT, 2777, 282, 45.3738, 63.9656, 71, 2.43615
20, 2, BRISK, SIFT, 2741, 282, 46.8517, 71.0418, 75, 2.59039
20, 3, BRISK, SIFT, 2735, 277, 45.4415, 74.1667, 66, 2.99459
20, 4, BRISK, SIFT, 2757, 297, 45.1862, 75.9169, 60, 2.67568
20, 5, BRISK, SIFT, 2695, 279, 46.029, 72.3755, 48, 2.70741
20, 6, BRISK, SIFT, 2715, 289, 46.9201, 73.5153, 82, 2.65834
20, 7, BRISK, SIFT, 2628, 272, 44.2462, 72.1482, 69, 2.57533
20, 8, BRISK, SIFT, 2639, 266, 45.569, 72.8099, 66, 2.38483
20, 9, BRISK, SIFT, 2672, 254, 45.4717, 69.1561, 75, 2.19015

21, 0, ORB, BRISK, 500, 92, 8.38579, 1.41009, 0, 0
21, 1, ORB, BRISK, 500, 102, 9.4343, 1.46382, 73, 0.350219
21, 2, ORB, BRISK, 500, 106, 8.43832, 1.48532, 74, 0.399975
21, 3, ORB, BRISK, 500, 113, 8.56947, 1.57579, 79, 0.436826
21, 4, ORB, BRISK, 500, 109, 8.69139, 1.56003, 85, 0.430244
21, 5, ORB, BRISK, 500, 125, 8.59011, 1.72699, 79, 0.452258
21, 6, ORB, BRISK, 500, 130, 8.59433, 1.85681, 92, 0.562087
21, 7, ORB, BRISK, 500, 129, 9.05973, 1.77722, 90, 0.532962
21, 8, ORB, BRISK, 500, 127, 8.79118, 1.73709, 88, 0.534309
21, 9, ORB, BRISK, 500, 128, 8.76375, 1.75725, 91, 0.546115

22, 0, ORB, BRIEF, 500, 92, 8.57631, 0.64715, 0, 0
